gejala1,gejala2,gejala3,jenis_motor,merk_motor,tahun,km_motor,pernah_servis,permasalahan_motor,solusi
kebocoran oli,suara aneh,sulit distarter,matic,yamaha,2019,15000,ya,masalah mesin,perbaiki kebocoran oli dan ganti starter yang rusak
hilangnya tenaga,asap berlebihan,mesin mati mendadak,matic,honda,2020,18000,ya,masalah sistem bahan bakar,bersihkan injektor bahan bakar dan ganti filter bahan bakar
rem berderit,idling tidak teratur,tidak ada,manual,suzuki,2018,20000,ya,masalah rem,ganti bantalan rem dan lumasi komponen rem
bau aneh dari knalpot,mesin terlalu panas,konsumsi bahan bakar tinggi,manual,yamaha,2017,22000,tidak,masalah knalpot,periksa dan perbaiki sistem pembuangan
kesulitan berpindah gigi,getaran mesin,suara berisik dari mesin,manual,honda,2019,25000,ya,masalah transmisi,periksa dan ganti cairan transmisi atau lakukan penyetelan kopling
kopling selip,asap berlebihan,tidak ada,matic,suzuki,2016,28000,ya,masalah transmisi,ganti rakitan kopling dan periksa gearbox
konsumsi bahan bakar tinggi,suara aneh,mesin mati mendadak,matic,yamaha,2018,19000,tidak,masalah sistem bahan bakar,bersihkan injektor bahan bakar dan periksa tekanan bahan bakar
suara aneh,idling tidak teratur,mesin terlalu panas,matic,honda,2017,21000,ya,masalah mesin,periksa sistem pendingin dan ganti termostat
kopling terlalu keras,suara gesekan,tidak bisa berakselerasi,manual,suzuki,2015,24000,ya,masalah transmisi,periksa dan ganti oli transmisi atau lakukan penyetelan kopling
oli berlebihan,suara mendesis,sulit distarter,manual,yamaha,2016,20000,tidak,masalah sistem bahan bakar,bersihkan karburator dan ganti filter udara
kebocoran oli,suara aneh,sulit distarter,matic,yamaha,2019,15000,ya,masalah mesin,perbaiki kebocoran oli dan ganti starter yang rusak
hilangnya tenaga,asap berlebihan,mesin mati mendadak,matic,honda,2020,18000,ya,masalah sistem bahan bakar,bersihkan injektor bahan bakar dan ganti filter bahan bakar
rem berderit,idling tidak teratur,tidak ada,manual,suzuki,2018,20000,ya,masalah rem,ganti bantalan rem dan lumasi komponen rem
bau aneh dari knalpot,mesin terlalu panas,konsumsi bahan bakar tinggi,manual,yamaha,2017,22000,tidak,masalah knalpot,periksa dan perbaiki sistem pembuangan
kesulitan berpindah gigi,getaran mesin,suara berisik dari mesin,manual,honda,2019,25000,ya,masalah transmisi,periksa dan ganti cairan transmisi atau lakukan penyetelan kopling
kopling selip,asap berlebihan,tidak ada,matic,suzuki,2016,28000,ya,masalah transmisi,ganti rakitan kopling dan periksa gearbox
konsumsi bahan bakar tinggi,suara aneh,mesin mati mendadak,matic,yamaha,2018,19000,tidak,masalah sistem bahan bakar,bersihkan injektor bahan bakar dan periksa tekanan bahan bakar
suara aneh,idling tidak teratur,mesin terlalu panas,matic,honda,2017,21000,ya,masalah mesin,periksa sistem pendingin dan ganti termostat
kopling terlalu keras,suara gesekan,tidak bisa berakselerasi,manual,suzuki,2015,24000,ya,masalah transmisi,periksa dan ganti oli transmisi atau lakukan penyetelan kopling
oli berlebihan,suara mendesis,sulit distarter,manual,yamaha,2016,20000,tidak,masalah sistem bahan bakar,bersihkan karburator dan ganti filter udara
kebocoran oli,suara aneh,sulit distarter,matic,yamaha,2019,15000,ya,masalah mesin,perbaiki kebocoran oli dan ganti starter yang rusak
hilangnya tenaga,asap berlebihan,mesin mati mendadak,matic,honda,2020,18000,ya,masalah sistem bahan bakar,bersihkan injektor bahan bakar dan ganti filter bahan bakar
rem berderit,idling tidak teratur,tidak ada,manual,suzuki,2018,20000,ya,masalah rem,ganti bantalan rem dan lumasi komponen rem
bau aneh dari knalpot,mesin terlalu panas,konsumsi bahan bakar tinggi,manual,yamaha,2017,22000,tidak,masalah knalpot,periksa dan perbaiki sistem pembuangan
kesulitan berpindah gigi,getaran mesin,suara berisik dari mesin,manual,honda,2019,25000,ya,masalah transmisi,periksa dan ganti cairan transmisi atau lakukan penyetelan kopling
kopling selip,asap berlebihan,tidak ada,matic,suzuki,2016,28000,ya,masalah transmisi,ganti rakitan kopling dan periksa gearbox
konsumsi bahan bakar tinggi,suara aneh,mesin mati mendadak,matic,yamaha,2018,19000,tidak,masalah sistem bahan bakar,bersihkan injektor bahan bakar dan periksa tekanan bahan bakar
suara aneh,idling tidak teratur,mesin terlalu panas,matic,honda,2017,21000,ya,masalah mesin,periksa sistem pendingin dan ganti termostat
kopling terlalu keras,suara gesekan,tidak bisa berakselerasi,manual,suzuki,2015,24000,ya,masalah transmisi,periksa dan ganti oli transmisi atau lakukan penyetelan kopling
oli berlebihan,suara mendesis,sulit distarter,manual,yamaha,2016,20000,tidak,masalah sistem bahan bakar,bersihkan karburator dan ganti filter udara
getaran berlebihan,asap berlebihan,mesin mati mendadak,manual,suzuki,2016,30000,ya,masalah mesin,periksa sistem pembakaran dan ganti busi
suara mendesis dari knalpot,rem tidak pakem,tidak ada,matic,yamaha,2021,10000,tidak,masalah knalpot,periksa dan perbaiki sistem pembuangan
kopling terlalu keras,suara gesekan,tidak bisa berakselerasi,manual,honda,2015,18000,ya,masalah transmisi,ganti oli transmisi dan lakukan penyetelan kopling
oli berlebihan,getaran pada setir,sulit distarter,matic,suzuki,2019,22000,tidak,masalah sistem bahan bakar,bersihkan injektor bahan bakar dan ganti filter bahan bakar
suara aneh,idling tidak teratur,mesin terlalu panas,manual,yamaha,2017,25000,ya,masalah mesin,periksa sistem pendingin dan ganti termostat
kopling terlalu lembek,suara mendesis dari mesin,tidak bisa berakselerasi,matic,honda,2020,18000,tidak,masalah transmisi,ganti rakitan kopling dan periksa gearbox
oli berkurang drastis,suara aneh dari mesin,sulit distarter,manual,suzuki,2018,19000,ya,masalah mesin,periksa sistem bahan bakar dan ganti filter udara
suara mendesis dari knalpot,rem keras,tidak ada,matic,yamaha,2016,24000,tidak,masalah knalpot,periksa dan perbaiki sistem pembuangan
kopling terlalu lembek,getaran berlebihan,tidak bisa berakselerasi,manual,honda,2019,21000,tidak,masalah transmisi,ganti oli transmisi dan lakukan penyetelan kopling
suara mendesis dari knalpot,akselerasi mendadak,tidak ada,matic,suzuki,2017,28000,ya,masalah knalpot,ganti knalpot dan periksa sistem pembuangan
oli berlebihan,getaran pada setir,mesin mati mendadak,manual,yamaha,2016,23000,tidak,masalah mesin,periksa sistem bahan bakar dan ganti filter udara
kebocoran oli,suara aneh,sulit distarter,matic,yamaha,2019,15000,ya,masalah mesin,perbaiki kebocoran oli dan ganti starter yang rusak
hilangnya tenaga,asap berlebihan,mesin mati mendadak,matic,honda,2020,18000,ya,masalah sistem bahan bakar,bersihkan injektor bahan bakar dan ganti filter bahan bakar
rem berderit,idling tidak teratur,tidak ada,manual,suzuki,2018,20000,ya,masalah rem,ganti bantalan rem dan lumasi komponen rem
bau aneh dari knalpot,mesin terlalu panas,konsumsi bahan bakar tinggi,manual,yamaha,2017,22000,tidak,masalah knalpot,periksa dan perbaiki sistem pembuangan
kesulitan berpindah gigi,getaran mesin,suara berisik dari mesin,manual,honda,2019,25000,ya,masalah transmisi,periksa dan ganti cairan transmisi atau lakukan penyetelan kopling
kopling selip,asap berlebihan,tidak ada,matic,suzuki,2016,28000,ya,masalah transmisi,ganti rakitan kopling dan periksa gearbox
konsumsi bahan bakar tinggi,suara aneh,mesin mati mendadak,matic,yamaha,2018,19000,tidak,masalah sistem bahan bakar,bersihkan injektor bahan bakar dan periksa tekanan bahan bakar
suara aneh,idling tidak teratur,mesin terlalu panas,matic,honda,2017,21000,ya,masalah mesin,periksa sistem pendingin dan ganti termostat
kopling terlalu keras,suara gesekan,tidak bisa berakselerasi,manual,suzuki,2015,24000,ya,masalah transmisi,periksa dan ganti oli transmisi atau lakukan penyetelan kopling
oli berlebihan,suara mendesis,sulit distarter,manual,yamaha,2016,20000,tidak,masalah sistem bahan bakar,bersihkan karburator dan ganti filter udara
kebocoran oli,suara aneh,sulit distarter,matic,yamaha,2019,15000,ya,masalah mesin,perbaiki kebocoran oli dan ganti starter yang rusak
hilangnya tenaga,asap berlebihan,mesin mati mendadak,matic,honda,2020,18000,ya,masalah sistem bahan bakar,bersihkan injektor bahan bakar dan ganti filter bahan bakar
rem berderit,idling tidak teratur,tidak ada,manual,suzuki,2018,20000,ya,masalah rem,ganti bantalan rem dan lumasi komponen rem
bau aneh dari knalpot,mesin terlalu panas,konsumsi bahan bakar tinggi,manual,yamaha,2017,22000,tidak,masalah knalpot,periksa dan perbaiki sistem pembuangan
kesulitan berpindah gigi,getaran mesin,suara berisik dari mesin,manual,honda,2019,25000,ya,masalah transmisi,periksa dan ganti cairan transmisi atau lakukan penyetelan kopling
kopling selip,asap berlebihan,tidak ada,matic,suzuki,2016,28000,ya,masalah transmisi,ganti rakitan kopling dan periksa gearbox
konsumsi bahan bakar tinggi,suara aneh,mesin mati mendadak,matic,yamaha,2018,19000,tidak,masalah sistem bahan bakar,bersihkan injektor bahan bakar dan periksa tekanan bahan bakar
suara aneh,idling tidak teratur,mesin terlalu panas,matic,honda,2017,21000,ya,masalah mesin,periksa sistem pendingin dan ganti termostat
kopling terlalu keras,suara gesekan,tidak bisa berakselerasi,manual,suzuki,2015,24000,ya,masalah transmisi,periksa dan ganti oli transmisi atau lakukan penyetelan kopling
oli berlebihan,suara mendesis,sulit distarter,manual,yamaha,2016,20000,tidak,masalah sistem bahan bakar,bersihkan karburator dan ganti filter udara
